arch_id,test_accuracy,test_precision,test_recall,test_f1_score,epoch_time_sec,num_params,num_flops,architecture,train_loss_epoch_1,train_acc_epoch_1,train_loss_epoch_2,train_acc_epoch_2,train_loss_epoch_3,train_acc_epoch_3,train_loss_epoch_4,train_acc_epoch_4,train_loss_epoch_5,train_acc_epoch_5
595,0.5427,0.548697212,0.5427,0.541439144,142.5690439,285296,13536880,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=15,act=GELU)",1.754633155,38.162,1.415887069,50.194,1.33641598,53.05,1.28679673,54.924,1.253901894,56.428
596,0.5318,0.53797231,0.5318,0.528454323,141.3530266,285296,13536880,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=15,act=SiLU)",1.715956417,39.356,1.441288055,49.546,1.365133216,52.314,1.322331029,53.946,1.290010741,55.196
597,0.5224,0.521324315,0.5224,0.513458297,154.5317955,350096,16582480,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=20,act=ReLU)",1.786993308,36.36,1.511548211,46.804,1.41962505,50.074,1.36117098,52.312,1.315934891,53.974
598,0.5349,0.544661776,0.5349,0.533018339,154.6090474,350096,16582480,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=20,act=GELU)",1.694743404,39.876,1.434250909,49.766,1.359686247,52.242,1.311347765,54.128,1.278393587,55.334
599,0.5179,0.52452991,0.5179,0.508699815,155.8326998,350096,16582480,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=20,act=SiLU)",1.806376869,36.658,1.471049648,48.25,1.393900665,50.996,1.354729315,52.478,1.324183326,53.594
600,0.5551,0.555515994,0.5551,0.5539552,94.92071724,71760,1766352,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=5,act=ReLU)",1.791379146,36.316,1.466437167,48.282,1.362086235,51.696,1.303401504,53.614,1.264372642,55.118
601,0.5753,0.574759793,0.5753,0.571249453,94.85091877,71760,1766352,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=5,act=GELU)",1.782382903,36.53,1.393472359,50.496,1.271516135,54.796,1.196726338,57.59,1.144057094,59.684
602,0.5675,0.568095692,0.5675,0.560293748,94.05208898,71760,1766352,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=5,act=SiLU)",1.67847751,40.338,1.388727977,50.636,1.29411132,54.1,1.226215264,56.624,1.179355072,58.508
603,0.5581,0.571610428,0.5581,0.554399816,94.1519196,95280,2236752,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=8,act=ReLU)",1.721364621,38.778,1.397141509,50.438,1.290785963,54.114,1.228859502,56.64,1.175366482,58.576
604,0.5659,0.561792755,0.5659,0.558442604,93.50154352,95280,2236752,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=8,act=GELU)",1.726796133,38.756,1.371933859,51.374,1.265063034,55.374,1.192622562,57.982,1.139658168,59.97
605,0.5628,0.567756321,0.5628,0.561683004,94.45152736,95280,2236752,"Conv2d(k=1,p=1) -> Conv2d(k=3,p=0) -> KAN(order=2,grid=8,act=SiLU)",1.676795618,40.704,1.366206376,51.642,1.276008682,54.884,1.218297569,57.036,1.175935722,58.636
